ID,Text,Sentiment,Date,User,Platform,Hashtags,Retweets,Likes,Country
0,Enjoying a beautiful day at the park!,Positive,1/15/2023,User123,Twitter,#Nature #Park,15,30,USA
1,Traffic was terrible this morning.,Negative,1/15/2023,CommuterX,Twitter,#Traffic #Morning,5,10,Canada
2,Just finished an amazing workout! ??,Positive,1/15/2023,FitnessFan,Instagram,#Fitness #Workout,20,40,USA
3,Excited about the upcoming weekend getaway!,Positive,1/15/2023,AdventureX,Facebook,#Travel #Adventure,8,15,UK
4,Trying out a new recipe for dinner tonight.,Neutral,1/15/2023,ChefCook,Instagram,#Cooking #Food,12,25,Australia
5,Feeling grateful for the little things in life.,Positive,1/16/2023,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India
6,Rainy days call for cozy blankets and hot cocoa.,Positive,1/16/2023,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada
7,The new movie release is a must-watch!,Positive,1/16/2023,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA
8,Political discussions heating up on the timeline.,Negative,1/17/2023,DebateTalk,Twitter,#Politics #Debate,30,60,USA
9,Missing summer vibes and beach days.,Neutral,1/17/2023,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia
10,Just published a new blog post. Check it out!,Positive,1/17/2023,BloggerX,Instagram,#Blogging #NewPost,22,45,USA
11,Feeling a bit under the weather today.,Negative,1/18/2023,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada
12,Exploring the city's hidden gems.,Positive,1/18/2023,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK
13,"New year, new fitness goals! ??",Positive,1/18/2023,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA
14,Technology is changing the way we live.,Neutral,1/19/2023,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India
15,Reflecting on the past and looking ahead.,Positive,1/19/2023,Reflections,Facebook,#Reflection #Future,20,40,USA
16,Just adopted a cute furry friend! ??,Positive,1/19/2023,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada
17,Late-night gaming session with friends.,Positive,1/20/2023,GamerX,Twitter,#Gaming #LateNight,18,35,UK
18,Attending a virtual conference on AI.,Neutral,1/20/2023,TechConference,Facebook,#AI #TechConference,25,50,USA
19,Winter blues got me feeling low.,Negative,1/20/2023,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA
20,Sipping coffee and enjoying a good book.,Positive,1/21/2023,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India
21,Exploring the world of virtual reality.,Positive,1/21/2023,VRExplorer,Facebook,#VR #VirtualReality,15,30,USA
22,Productive day ticking off my to-do list.,Positive,1/21/2023,ProductivityPro,Instagram,#Productivity #WorkFromHome,30,60,USA
23,Just finished a challenging workout routine.,Positive,1/22/2023,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20,40,UK
24,Celebrating a milestone at work! ??,Positive,1/22/2023,CareerMilestone,Facebook,#Career #Milestone,12,25,Canada
25,Sunday brunch with friends.,Positive,1/22/2023,BrunchBuddy,Instagram,#Brunch #Friends,15,30,UK
28,Learning a new language for personal growth.,Positive,1/23/2023,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25,50,India
29,Quiet evening with a good book.,Positive,1/23/2023,BookLover,Instagram,#Reading #QuietTime,15,30,Australia
30,Reflecting on the importance of mental health.,Positive,1/24/2023,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22,45,USA
31,New painting in progress! ??,Positive,1/24/2023,ArtistInAction,Facebook,#Art #PaintingInProgress,12,25,Canada
32,Weekend road trip to explore scenic views.,Positive,1/24/2023,RoadTripper,Instagram,#RoadTrip #ScenicViews,18,35,UK
33,Enjoying a cup of tea and watching the sunset.,Positive,1/25/2023,SunsetWatcher,Twitter,#TeaTime #Sunset,15,30,India
34,Coding a new project with enthusiasm.,Positive,1/25/2023,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30,60,USA
35,Feeling inspired after attending a workshop.,Positive,1/26/2023,WorkshopAttendee,Instagram,#Inspiration #Workshop,25,50,USA
36,Winter sports day at the local park.,Positive,1/26/2023,WinterSports,Twitter,#WinterSports #Fun,15,30,Canada
37,Quality time with family this weekend.,Positive,1/26/2023,FamilyTime,Facebook,#FamilyTime #Weekend,22,45,UK
38,Attending a live music concert tonight.,Positive,1/27/2023,MusicLover,Instagram,#Music #ConcertNight,18,35,USA
39,Practicing mindfulness with meditation.,Positive,1/27/2023,MindfulMoments,Twitter,#Mindfulness #Meditation,15,30,India
40,Trying out a new dessert recipe.,Positive,1/27/2023,DessertExplorer,Facebook,#Dessert #Cooking,12,25,Canada
41,Excited about the upcoming gaming tournament.,Positive,1/28/2023,GamingEnthusiast,Instagram,#Gaming #Tournament,30,60,USA
42,Planning a garden makeover for spring.,Positive,1/28/2023,GardenPlanner,Twitter,#Gardening #Spring,25,50,USA
43,Celebrating a friend's birthday tonight! ??,Positive,1/28/2023,BirthdayBash,Facebook,#Birthday #Celebration,15,30,UK
44,Feeling accomplished after a productive day.,Positive,1/29/2023,ProductivityWin,Instagram,#Accomplished #Success,22,45,India
45,A cozy evening with a good movie.,Positive,1/29/2023,MovieNight,Twitter,#CozyNight #MovieTime,18,35,Canada
46,Exploring local art galleries this weekend.,Positive,1/30/2023,ArtExplorer,Facebook,#Art #GalleryExplore,15,30,USA
47,New book release from my favorite author!,Positive,1/30/2023,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12,25,UK
48,Attending a virtual reality meetup.,Positive,1/30/2023,VRMeetup,Twitter,#VRMeetup #VirtualReality,28,55,India
49,Reflecting on the beauty of nature.,Positive,1/31/2023,NatureLover,Facebook,#Nature #Reflection,15,30,Australia
50,Cooking a special dinner for loved ones.,Positive,1/31/2023,ChefAtHome,Instagram,#Cooking #SpecialDinner,20,40,USA
51,Feeling optimistic about the week ahead.,Positive,1/31/2023,OptimisticMindset,Twitter,#Optimism #NewWeek,15,30,Canada
52,Starting a new fitness challenge tomorrow! ??,Positive,2/1/2023,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22,45,UK
53,Sunday bike ride through scenic trails.,Positive,2/1/2023,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18,35,USA
55,Can't believe the injustice happening in our society.,Anger,2/11/2023,SocialJustice,Twitter,#Injustice #Angry,20,40,Canada
56,Feeling a sense of fear after watching a thriller movie.,Fear,2/11/2023,ThrillerFan,Instagram,#Fear #ThrillerMovie,15,30,USA
57,Heartbroken after hearing the news about a natural disaster.,Sadness,2/12/2023,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25,50,India
58,The state of the world's environment is just disgusting.,Disgust,2/12/2023,EcoAwareness,Twitter,#Disgust #Environment,18,35,UK
59,Pure happiness: celebrating a loved one's achievement!,Happiness,2/13/2023,ProudFriend,Instagram,#Happiness #Celebration,30,60,USA
60,Laughter is the best medicine??njoying a comedy show.,Joy,2/13/2023,ComedyFan,Facebook,#Joy #ComedyShow,22,45,Canada
61,Sharing love and positive vibes with everyone! ???,Love,2/14/2023,LoveSpreader,Twitter,#Love #SpreadLove,15,30,Australia
62,An amusing incident brightened up my day!,Amusement,2/14/2023,AmusedSoul,Instagram,#Amusement #FunTimes,18,35,UK
63,Enjoying a quiet evening with a book and some tea.,Enjoyment,2/14/2023,BookLoverAgain,Facebook,#Enjoyment #BookTime,25,50,Canada
64,Admiring the beauty of nature during a peaceful hike.,Admiration,2/15/2023,NatureAdmirer,Twitter,#Admiration #Nature,20,40,USA
65,Sending affectionate vibes to all my followers!,Affection,2/15/2023,AffectionSender,Instagram,#Affection #PositiveVibes,15,30,USA
66,Experiencing awe at the breathtaking sunset.,Awe,2/15/2023,AweStruck,Facebook,#Awe #Breathtaking,22,45,Australia
67,Disappointed with the service at a local restaurant.,Disappointed,2/16/2023,FoodieGoneWrong,Twitter,#Disappointed #BadService,18,35,India
68,A surprise gift from a friend made my day!,Surprise,2/16/2023,HappySurprise,Instagram,#Surprise #Gift,25,50,USA
69,Finding acceptance in the midst of life's challenges.,Acceptance,2/16/2023,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15,30,Canada
70,Overflowing with adoration for my adorable pet! ??,Adoration,2/17/2023,PetAdorer,Twitter,#Adoration #PetLove,22,45,UK
